Date,Top,Jgl,Mid,Bot,Sup,Patch,Win - Lose,Opponent,E-Top,E-Jgl,E-Mid,E-Bot,E-Sup,side,Winrate since the start,"58,48%",Winrate Red: 057% | Winrate Blue: 062%,,,,,,,,Champion
27/01/2025,KSante,Zyra,Corki,Kaisa,Nautilus,15.2,Win,SGE,Ambessa,MonkeyKing,Yone,Seraphine,Rell,Blue,,,,,,,,,,,
27/01/2025,Renekton,Maokai,Smolder,Xayah,Rell,15.2,Win,SGE,Ambessa,Vi,Corki,Kaisa,Alistar,Red,,,,,,,,,,,
27/01/2025,Jax,Sejuani,Azir,Kalista,Renata,15.2,Win,SGE,KSante,XinZhao,Hwei,Corki,Neeko,Blue,,,,,,,,,,,
27/01/2025,Ambessa,Ivern,Hwei,Corki,Leona,15.2,Win,SGE,Jayce,XinZhao,Azir,Jhin,Alistar,Blue,,,,,,,,,,,
28/01/2025,Jayce,JarvanIV,Hwei,Corki,Leona,15.2,Win,MKF,Rumble,Zyra,Ezreal,MissFortune,Rell,Blue,,,,,,,,,,,
28/01/2025,Jayce,Zyra,Yone,Smolder,Rell,15.2,Lose,MKF,Gragas,Nocturne,Orianna,Corki,Rakan,Red,,,,,,,,,,,
28/01/2025,,,,,,15.2,Enemy cancel,MKF,,,,,,,,,,,,,,,,,
28/01/2025,Jayce,Zyra,Corki,Kaisa,Rell,15.2,Lose,GXP,KSante,Nidalee,Syndra,Ezreal,Leona,Blue,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
30/01/2025,KSante,Zyra,Corki,Kaisa,Nautilus,15.2,Win,Z10,Ambessa,Viego,Aurora,Ashe,Braum,Blue,,,,,,,,,,,
30/01/2025,Jax,Maokai,Corki,Ashe,Rell,15.2,Win,Z10,Renekton,Sejuani,Smolder,Varus,Renata,Red,,,,,,,,,,,
30/01/2025,KSante,Zyra,Yone,Kaisa,Rakan,15.2,Lose,Z10,Gwen,Skarner,Viktor,Ezreal,Senna,Blue,,,,,,,,,,,
30/01/2025,,,,,,15.2,We cancel,Z10,,,,,,,,,,,,,,,,,
30/01/2025,,,,,,15.2,We cancel,Z10,,,,,,,,,,,,,,,,,
31/01/2025,KSante,Zyra,Yone,Kaisa,Rell,15.2,Win,PAR,Ambessa,Vi,Corki,Brand,Nautilus,Blue,,,,,,,,,,,
31/01/2025,Gnar,Ivern,Swain,Ezreal,Leona,15.2,Win,PAR,Rumble,XinZhao,Akali,Ezreal,Rakan,Red,,,,,,,,,,,
31/01/2025,Renekton,Maokai,Syndra,Caitlyn,Alistar,15.2,Win,PAR,Ornn,Lillia,Zeri,MissFortune,Bard,Blue,,,,,,,,,,,
31/01/2025,Sion,Zyra,Corki,Kaisa,Alistar,15.2,Win,PAR,Gragas,Lillia,Jayce,Ezreal,Rell,Red,,,,,,,,,,,
31/01/2025,,,,,,15.2,Enemy cancel,PAR,,,,,,Blue,,,,,,,,,,,
